Titre du poste,Entreprise,Ville,Secteur d'activité,Contrat proposé,Niveau d'étude,Expérience,Compétences techniques,Langues,Soft skills,Lien de l'offre
Responsable SAV,Auto Hall,Casablanca,Automobile / Motos / Cycles,CDI,Bac +5  ,Junior (1 à 3 ans),Excel,Non spécifié,"Travail en équipe, innovation, initiative, flexibilité",https://www.rekrute.com/fr/offre-emploi-responsable-sav-recrutement-auto-hall-casablanca-184310.html
Ingénieur Installation Générale Senior,Capgemini Engineering,Casablanca,BTP / Génie Civil,CDI,Bac +5  ,Intermédiaire (3 à 5 ans),ERP,Anglais,"Communication, travailler en équipe, autonomie, rigueur, organisation, créativité, innovation, initiative, sens de l'organisation, esprit d'analyse",https://www.rekrute.com/fr/offre-emploi-ingenieur-installation-generale-senior-recrutement-capgemini-engineering-casablanca-184305.html
Directeur Technique,Confidentiel,Marrakech,Hôtellerie / Restauration,CDI,Bac +5  ,Confirmé (5 à 10 ans),Non spécifié,"Français, Anglais, Arabe","Travail en équipe, rigueur, organisation, leadership, flexibilité, réactivité",https://www.rekrute.com/fr/offre-emploi-directeur-technique-recrutement-confidentiel-marrakech-184275.html
Responsable Maintenance,Sedec,Témara,BTP / Génie Civil,CDI,Bac +5  ,Confirmé (5 à 10 ans),"GMAO, Automatisme",Non spécifié,"Organisation, leadership, gestion de projet, innovation, réactivité",https://www.rekrute.com/fr/offre-emploi-responsable-maintenance-recrutement-sedec-temara-184227.html
Facility Manager,Manpower Agences,Casablanca,Autres Industries,Intérim,Bac +5  ,Confirmé (5 à 10 ans),Excel,"Français, Anglais","Communication, rigueur, organisation, leadership, gestion de projet, innovation, résolution de problèmes, adaptabilité, relationnel",https://www.rekrute.com/fr/offre-emploi-facility-manager-recrutement-manpower-agences-casablanca-184150.html
Technicien centrale chaufferie,Confidentiel,Casablanca,Agroalimentaire,Non spécifié,Bac +2,Débutant (-1 an),Automatisme,Non spécifié,Non spécifié,https://www.rekrute.com/fr/offre-emploi-technicien-centrale-chaufferie-recrutement-confidentiel-casablanca-184064.html
Préparateur Maintenance – Maintenance Fixe,Aya Gold & Silver,Taliouine- Askaoune,Extraction / Mines,CDI,Bac +2,Intermédiaire (3 à 5 ans),"GMAO, ERP, Excel","Français, Anglais","Rigueur, organisation, relationnel",https://www.rekrute.com/fr/offre-emploi-preparateur-maintenance-maintenance-fixe-recrutement-aya-gold-silver-taliouine--askaoune-184055.html
Technicien(ne) supérieur(e) - Secteur Hydraulique/Energétique,Manpower Agences,Casablanca,Energie,Non spécifié,Bac +3,Junior (1 à 3 ans),"ERP, Excel","Français, Anglais","Rigueur, organisation, innovation, adaptabilité",https://www.rekrute.com/fr/offre-emploi-technicienne-superieure---secteur-hydrauliqueenergetique-recrutement-manpower-agences-casablanca-183630.html
TECHNICIEN DE FABRICATION,Cosumar,Kénitra,Agroalimentaire,Non spécifié,Bac +3,Débutant (-1 an),Non spécifié,Non spécifié,"Travail en équipe, rigueur, organisation, innovation",https://www.rekrute.com/fr/offre-emploi-technicien-de-fabrication-recrutement-cosumar-kenitra-184011.html
Dessinateur projeteur,Confidentiel,Casablanca,Conseil / Etudes,CDI,Bac +2,Junior (1 à 3 ans),ERP,Non spécifié,"Communication, travail en équipe, autonomie, rigueur, organisation, leadership, innovation, adaptabilité, initiative",https://www.rekrute.com/fr/offre-emploi-dessinateur-projeteur-recrutement-confidentiel-casablanca-184009.html
Responsable Service (H/F),CAC (Centrale Automobile Chérifienne),Casablanca,Automobile / Motos / Cycles,CDI,Bac +5  ,Confirmé (5 à 10 ans),Non spécifié,Non spécifié,"Communication, rigueur, organisation, innovation, adaptabilité",https://www.rekrute.com/fr/offre-emploi-responsable-service-hf-recrutement-cac-centrale-automobile-cherifienne-casablanca-183976.html
Responsable Maintenance des Engins,Meski Invest - Riva Industries,El Jadida,Métallurgie / Sidérurgie,CDI,Bac +5  ,Confirmé (5 à 10 ans),"GMAO, AMDEC, 5S",Non spécifié,"Communication, travail en équipe, rigueur, organisation, leadership, innovation, résolution de problèmes",https://www.rekrute.com/fr/offre-emploi-responsable-maintenance-des-engins-recrutement-meski-invest---riva-industries-el-jadida-183966.html
Business Analyst,Domino HR Morocco,Casablanca,Aéronautique / Spatial,CDI,Bac +5  ,Confirmé (5 à 10 ans),Excel,"Français, Anglais","Communication, autonomie, organisation, gestion de projet, initiative, réactivité",https://www.rekrute.com/fr/offre-emploi-business-analyst-recrutement-domino-hr-morocco-casablanca-183871.html
Gestionnaire Technique,Atlas Multiservices,CASABLANCA,Indifférent,CDI,Bac +3,Intermédiaire (3 à 5 ans),Non spécifié,Non spécifié,"Travailler en équipe, rigueur, organisation, organisé",https://www.rekrute.com/fr/offre-emploi-gestionnaire-technique-recrutement-atlas-multiservices-casablanca-183833.html
Leader Maintenance Générale,Confidentiel,Casablanca,Agroalimentaire,CDI,Bac +5  ,Intermédiaire (3 à 5 ans),Non spécifié,Non spécifié,"Travail en équipe, créativité, flexibilité",https://www.rekrute.com/fr/offre-emploi-leader-maintenance-generale-recrutement-confidentiel-casablanca-183758.html
Ingénieur Méthodes,HUIR - L'Hôpital Universitaire International de Rabat,Rabat,Pharmacie / Santé,CDI,Bac +5  ,Junior (1 à 3 ans),"GMAO, Excel",Non spécifié,"Rigueur, organisation, innovation, initiative",https://www.rekrute.com/fr/offre-emploi-ingenieur-methodes-recrutement-huir---lhopital-universitaire-international-de-rabat-rabat-183711.html
Technical Sales Engineer,SGS Maroc SA,Mohammédia,Pétrole / Gaz,CDI,Bac +5  ,Intermédiaire (3 à 5 ans),Excel,"Français, Anglais","Communication, esprit d'équipe, autonomie, autonome, organisation, innovation, relationnel",https://www.rekrute.com/fr/offre-emploi-technical-sales-engineer-recrutement-sgs-maroc-sa-mohammedia-183080.html
Ingénieur Production,Confidentiel,Meknès,Métallurgie / Sidérurgie,CDI,Bac +5  ,Junior (1 à 3 ans),"Lean, Lean manufacturing, Excel","Français, Anglais","Rigueur, organisation, innovation",https://www.rekrute.com/fr/offre-emploi-ingenieur-production-recrutement-confidentiel-meknes-183484.html
Responsable SAV Automobile,Super Auto Group,Rabat,Automobile / Motos / Cycles,CDI,Bac +5  ,Intermédiaire (3 à 5 ans),Excel,"Français, Anglais","Travail en équipe, organisation, leadership, innovation, initiative, flexibilité",https://www.rekrute.com/fr/offre-emploi-responsable-sav-automobile-recrutement-super-auto-group-rabat-183436.html
Agent méthodes Maintenance,Ciments du Maroc,Agadir,Electro-mécanique / Mécanique,CDI,Bac +3,Intermédiaire (3 à 5 ans),"SOLIDWORKS, Autocad, CAO, GMAO, SAP, ERP, Excel","Français, Anglais, Arabe","Travail en équipe, rigueur, organisation, innovation, résolution de problèmes, adaptabilité, relationnel, initiative",https://www.rekrute.com/fr/offre-emploi-agent-methodes-maintenance-recrutement-ciments-du-maroc-agadir-183351.html
Inspecteur,SGS Maroc SA,Nador,Extraction / Mines,CDI,Bac +3,Intermédiaire (3 à 5 ans),"ERP, Excel","Français, Anglais","Communication, travailler en équipe, rigueur, organisation, innovation, relationnel",https://www.rekrute.com/fr/offre-emploi-inspecteur-recrutement-sgs-maroc-sa-nador-183343.html
Ingénieur Travaux  F/H,VINCI Energies Afrique de l'Ouest,Casablanca,Energie,CDI,Bac +5  ,Junior (1 à 3 ans),Excel,Non spécifié,"Communication, communiquer, travail en équipe, travailler en équipe, autonomie, rigueur, gestion de projet",https://www.rekrute.com/fr/offre-emploi-ingenieur-travaux-fh-recrutement-vinci-energies-afrique-de-louest-casablanca-183217.html
Formateur Technique Automobile (H/F),Jameel Motors,Casablanca,Automobile / Motos / Cycles,CDI,Bac +2,Intermédiaire (3 à 5 ans),"ERP, Excel","Français, Anglais, Arabe","Communication, autonomie, organisation, innovation, sens de l'organisation",https://www.rekrute.com/fr/offre-emploi-formateur-technique-automobile-hf-recrutement-jameel-motors-casablanca-183096.html
Ingénieur Maintenance Matériels roulants,Aya Gold & Silver,Taliouine - Askaoun,Extraction / Mines,CDI,Bac +5  ,Junior (1 à 3 ans),"GMAO, AMDEC, Lean, Excel",Non spécifié,"Communication, esprit d'équipe, autonomie, rigueur, organisation, résolution de problèmes, force de proposition, sens de l'organisation, réactivité, esprit d'analyse",https://www.rekrute.com/fr/offre-emploi-ingenieur-maintenance-materiels-roulants-recrutement-aya-gold-silver-taliouine---askaoun-183125.html
Responsable Procédés Spéciaux,Structural Aerospace Morocco (AVIAGROUP),Nouaceur,Aéronautique / Spatial,CDI,Bac +5  ,Intermédiaire (3 à 5 ans),"ERP, Excel",Anglais,"Rigueur, organisation, innovation",https://www.rekrute.com/fr/offre-emploi-responsable-procedes-speciaux-recrutement-structural-aerospace-morocco-aviagroup-nouaceur-183090.html
Responsable UAP,Safran Nacelles,Casablanca,Aéronautique / Spatial,CDI,Bac +5  ,Confirmé (5 à 10 ans),"SAP, Excel","Français, Anglais","Communication, travail en équipe, autonomie, autonome, rigueur, organisation, créativité, innovation, flexibilité",https://www.rekrute.com/fr/offre-emploi-responsable-uap-recrutement-safran-nacelles-casablanca-183009.html
Danone Operation Future Leaders Program,Centrale Danone,Maroc,Agroalimentaire,CDI,Bac +5  ,Débutant (-1 an),Non spécifié,Anglais,"Travailler en équipe, rigueur, organisation, créativité, leadership, innovation, relationnel",https://www.rekrute.com/fr/offre-emploi-danone-operation-future-leaders-program-recrutement-centrale-danone-maroc-182937.html
Ingénieur (e) Conception & Rétroconception,CID,Casablanca,BTP / Génie Civil,CDI,Bac +5  ,Confirmé (5 à 10 ans),"CATIA, Creo, NX, CAO, AMDEC, APQP, PPAP",Non spécifié,"Autonomie, rigueur, organisation",https://www.rekrute.com/fr/offre-emploi-ingenieur-e-conception-retroconception-recrutement-cid-casablanca-182882.html
Stage PFE  Qualité,Pratt & Whitney,Nouaceur,Aéronautique / Spatial,Stage,Bac +5  ,Débutant (-1 an),Excel,Non spécifié,"Travail en équipe, travailler en équipe, rigueur, organisation, créativité, innovation, initiative",https://www.rekrute.com/fr/offre-emploi-stage-pfe-qualite-recrutement-pratt-whitney-nouaceur-182874.html
Technicien Chargé des pistes (H/F),Sorec,Marrakech,BTP / Génie Civil,CDI,Bac +2,Débutant (-1 an),Excel,Non spécifié,"Organisation, innovation, relationnel, initiative",https://www.rekrute.com/fr/offre-emploi-technicien-charge-des-pistes-hf-recrutement-sorec-marrakech-182819.html
Stage Libre – Profil Technique (CATIA),Capgemini Engineering,Casablanca,Electro-mécanique / Mécanique,Stage,Bac +3,Débutant (-1 an),"CATIA, Modélisation, ERP",Non spécifié,"Communication, travailler en équipe, rigueur, organisation, créativité, innovation, initiative",https://www.rekrute.com/fr/offre-emploi-stage-libre-profil-technique-catia-recrutement-capgemini-engineering-casablanca-182754.html
Ingénieur CAD Conception (H/F) – Textile,Domino HR Morocco,Tanger,Textile / Cuir,CDI,Bac +5  ,Intermédiaire (3 à 5 ans),Non spécifié,"Français, Anglais","Communication, rigueur, organisation, initiative, réactivité",https://www.rekrute.com/fr/offre-emploi-ingenieur-cad-conception-hf-textile-recrutement-domino-hr-morocco-tanger-182753.html
Chef d'Atelier Mécanique et Diagnotic,Groupe Smeia,Casablanca,Automobile / Motos / Cycles,CDI,Bac +5  ,Intermédiaire (3 à 5 ans),Excel,Non spécifié,"Rigueur, organisation, créativité, innovation, initiative",https://www.rekrute.com/fr/offre-emploi-chef-datelier-mecanique-et-diagnotic-recrutement-groupe-smeia-casablanca-182648.html
Chef de Service Après-Vente et Magasin Pièces de Rechange,Groupe Smeia,Oujda,Automobile / Motos / Cycles,CDI,Bac +5  ,Confirmé (5 à 10 ans),Excel,Non spécifié,"Travail en équipe, rigueur, organisation, créativité, innovation, initiative, réactivité",https://www.rekrute.com/fr/offre-emploi-chef-de-service-apres-vente-et-magasin-pieces-de-rechange-recrutement-groupe-smeia-oujda-182646.html
